Laser Pulses,Normalized Reflected Intensity,Slope,Band Depth
0,0,-0.013,0.282784272
1,-0.141,-0.00474,0.339433294
2,-0.154,-0.000965,0.362677725
3,-0.128,-0.000965,0.368239356
5,-0.093,0.00128,0.39558011
