Wavelength (micron),fresh,1 pulse,5 pulses
3.14646875,-0.000602413,-0.000219731,-0.000484604
3.145991629,-0.000639237,-0.000222361,-0.000518439
3.145514653,-0.000670555,-0.000230558,-0.000542577
3.145037822,-0.000690402,-0.000241769,-0.000555465
3.144561136,-0.000693829,-0.000253859,-0.000556863
3.144084593,-0.00067852,-0.00026611,-0.000547848
3.143607208,-0.000645422,-0.000279187,-0.000531255
3.143130954,-0.000598477,-0.000295034,-0.00051135
3.142654846,-0.000543379,-0.000315927,-0.000492926
3.142178881,-0.00048574,-0.000343844,-0.00047976
3.141703061,-0.000430017,-0.000379233,-0.000473814
3.141227384,-0.000379043,-0.000421234,-0.000474783
3.140751852,-0.000334615,-0.000467078,-0.000480039
3.140276464,-0.000298677,-0.000513261,-0.000485715
3.139800233,-0.000273607,-0.000555831,-0.000488281
3.139325133,-0.000262382,-0.000591441,-0.000485192
3.138850176,-0.000266755,-0.000617662,-0.000475782
3.138375364,-0.000285904,-0.000633192,-0.000461382
3.137900694,-0.000315065,-0.000637429,-0.000444638
3.137426169,-0.000346457,-0.000629896,-0.000428966
3.136951786,-0.000371104,-0.00061028,-0.000417761
3.136477548,-0.000382251,-0.000578417,-0.000414012
3.136003452,-0.000377684,-0.000534635,-0.000419734
3.135528517,-0.000361269,-0.000480593,-0.000436055
3.135054708,-0.000341126,-0.000420072,-0.000462726
3.134581043,-0.000326853,-0.000359045,-0.0004979
3.134107521,-0.000325367,-0.000305375,-0.00053816
3.133634141,-0.000338485,-0.000267599,-0.000578638
3.133160905,-0.000362438,-0.000252801,-0.000613714
3.132687812,-0.000389803,-0.000265212,-0.000638095
3.132214861,-0.000413473,-0.000304592,-0.000648088
3.131741073,-0.000429739,-0.000366136,-0.000642574
3.131268408,-0.000439659,-0.000441612,-0.000623621
3.130795886,-0.000448553,-0.00052091,-0.000595873
3.130323506,-0.000462508,-0.000594608,-0.000565759
3.129851269,-0.000485502,-0.000655586,-0.000539676
3.129379175,-0.000516853,-0.000700143,-0.000522516
3.128907223,-0.000551402,-0.000727819,-0.000516463
3.128434434,-0.000582268,-0.000740585,-0.000520925
3.127962767,-0.000603714,-0.000741421,-0.000532838
3.127491242,-0.000614222,-0.000733564,-0.000548373
3.127019859,-0.000617265,-0.000720173,-0.000563924
3.126548619,-0.000619733,-0.00070413,-0.000577868
3.12607752,-0.000628478,-0.000688572,-0.000590879
3.125606563,-0.000647434,-0.000676806,-0.000605304
3.125135748,-0.000675221,-0.000671768,-0.00062451
3.124664099,-0.000706281,-0.000674973,-0.000651016
3.124193568,-0.000732384,-0.000685663,-0.000685546
3.123723178,-0.000746173,-0.000700178,-0.000726203
3.12325293,-0.000743921,-0.000712418,-0.000768627
3.122782824,-0.000726354,-0.000715796,-0.000807388
3.122312859,-0.00069838,-0.000705072,-0.000837165
3.121843036,-0.000667771,-0.000678583,-0.00085444
3.121373354,-0.000642933,-0.000638992,-0.000858244
3.120903814,-0.000631103,-0.000593202,-0.00085069
3.120433441,-0.000637925,-0.000550331,-0.000835667
3.119964183,-0.000665686,-0.000519301,-0.000818233
3.119495066,-0.0007133,-0.000506194,-0.000802486
3.11902609,-0.000775485,-0.000512825,-0.000791155
3.118557256,-0.000843196,-0.000536612,-0.000784787
3.118088562,-0.000904735,-0.000571996,-0.000782241
3.117620009,-0.000948249,-0.000612256,-0.000781734
3.117151597,-0.000965453,-0.000651535,-0.0007815
3.116682354,-0.000954339,-0.000686115,-0.000780789
3.116214224,-0.000920941,-0.000715121,-0.000780136
3.115746234,-0.000877765,-0.000739416,-0.000781141
3.115278384,-0.000839915,-0.000760889,-0.000785721
3.114810676,-0.000819833,-0.000781061,-0.000795359
3.114343107,-0.000822746,-0.000800606,-0.000810519
3.113875679,-0.00084461,-0.000818973,-0.000830431
3.113407422,-0.000874217,-0.000834772,-0.000853243
3.112941244,-0.000897745,-0.000846394,-0.000876429
3.112473268,-0.00090437,-0.000852215,-0.000897546
3.112006401,-0.000890867,-0.000851182,-0.000914915
3.111539674,-0.000862462,-0.000843068,-0.000927706
3.111073087,-0.00083003,-0.000828314,-0.00093644
3.11060664,-0.000804966,-0.00080793,-0.000942478
3.110140333,-0.000794193,-0.000783407,-0.000947627
3.109674165,-0.000796983,-0.000756366,-0.000953293
3.109207171,-0.000806021,-0.000728406,-0.000960077
3.108741283,-0.000810485,-0.000700668,-0.000967137
3.108275535,-0.000801815,-0.000673473,-0.000972315
3.107809926,-0.000777354,-0.000646924,-0.00097269
3.107344457,-0.000741606,-0.000620684,-0.000965439
3.106879127,-0.000704635,-0.000595257,-0.000948976
3.106413937,-0.000678039,-0.00057224,-0.000923791
3.105948886,-0.000670511,-0.000554843,-0.000892854
3.10548301,-0.000685572,-0.000547177,-0.000861136
3.105018237,-0.000720944,-0.000553726,-0.000834526
3.104553604,-0.000770258,-0.000577372,-0.000818424
3.10408911,-0.000826271,-0.000618093,-0.000815821
3.103624754,-0.000882123,-0.000672249,-0.000826907
3.103160538,-0.000933091,-0.000732863,-0.000848506
3.10269646,-0.000975478,-0.000791255,-0.000875416
3.102232522,-0.001006613,-0.000839292,-0.00090147
3.101767759,-0.001024044,-0.000872133,-0.000921265
3.101304098,-0.001026296,-0.000890044,-0.000931898
3.100840576,-0.001014626,-0.000898274,-0.000933294
3.100377192,-0.000993389,-0.000906021,-0.000928273
3.099913946,-0.000970074,-0.000923069,-0.000921886
3.099450839,-0.00095325,-0.000956754,-0.000919877
3.098987871,-0.000949578,-0.001009325,-0.000927548
3.09852408,-0.000961276,-0.00107652,-0.000948187
3.098061388,-0.000984483,-0.001148753,-0.000982524
3.097598834,-0.001010711,-0.001213657,-0.001028333
3.097136419,-0.001029727,-0.001259769,-0.001080939
3.096674141,-0.001033692,-0.001279594,-0.001134053
3.096212001,-0.001020503,-0.001271551,-0.001180895
3.09575,-0.000994929,-0.001240757,-0.001215937
3.095288136,-0.000966902,-0.001196737,-0.001235804
3.09482641,-0.000948319,-0.001151033,-0.001239924
3.094363864,-0.000948607,-0.001114304,-0.001230309
3.093902413,-0.000971859,-0.001093579,-0.001210782
3.093441101,-0.001015371,-0.001091094,-0.001185656
3.092979925,-0.001071373,-0.001104383,-0.001158711
3.092518888,-0.001129434,-0.001127728,-0.001132771
3.092057987,-0.001180104,-0.00115366,-0.001109634
3.091597224,-0.001217542,-0.001175243,-0.001091239
3.091136599,-0.001240132,-0.00118765,-0.001079995
3.090675155,-0.001250462,-0.00118865,-0.001079444
3.090214804,-0.001252987,-0.001179168,-0.001093344
3.08975459,-0.001252574,-0.001162167,-0.001124427
3.089294513,-0.001252618,-0.001142026,-0.001172459
3.088834573,-0.001254032,-0.001123229,-0.001233252
3.088374771,-0.001255681,-0.001109288,-0.001298675
3.087915105,-0.001255356,-0.001102318,-0.001358021
3.087454622,-0.001250753,-0.00110274,-0.001401034
